Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number
BF HOMES HEALTH CENTER,Rural Health Unit,2076,Government,CONRADO BENITEZ STREET PHASE III,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,B. F. HOMES,+63 028266358
OLIVAREZ GENERAL HOSPITAL,Hospital,2174,Private,DR. A. SANTOS AVE. SUCAT,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN DIONISIO,+63 028258747
TALON II HEALTH CENTER,Rural Health Unit,2218,Government,CYNTHIA UGALDE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON DOS,+63 028728140
RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Hospital,2232,Government,FILINVEST CORPORATE CITY,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028072628
ALABANG HEALTH CENTER,Rural Health Unit,2237,Government,LIWASAN NG MGA BAYANI,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,
MAHARLIKA VILLAGE HEALTH CENTER,Rural Health Unit,2238,Government,1 PANANGAN PANGANDAMAN JR. STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,MAHARLIKA VILLAGE,+63 028377002
AIR FORCE GENERAL HOSPITAL,Hospital,2244,Government,COL. JESUS VILLAMOR AIR BASE,1309,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 183,+63 028546701
"MEDICAL CENTER MUNTINLUPA, INC",Hospital,2245,Private,38 NATIONAL ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,PUTATAN,+63 028620162
M.C. ICASIANO HEALTH CENTER,Rural Health Unit,2263,Government,1806 P. GIL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PACO,BARANGAY 812,+63 025640779
MANUYO UNO HEALTH CENTER,Rural Health Unit,2282,Government,TRAMO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,MANUYO UNO,+63 028267422
BARANGKA HEALTH CENTER,Rural Health Unit,2286,Government,BONIFACIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,BARANGKA,
SUCAT HEALTH CENTER,Rural Health Unit,2298,Government,PUROK 3,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,SUCAT,
SAN JUAN MEDICAL CENTER,Hospital,2314,Government,N.DOMINGO STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,BALONG-BATO,+63 027243266
BO. SAN JOSE HEALTH CENTER,Rural Health Unit,2317,Government,NO. 58 TAGAYTAY STREET CORNER BUAGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 187,
PITOGO HEALTH CENTER,Rural Health Unit,2324,Government,502 CEBU STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PITOGO,+63 028825616
KALIGAYAHAN HEALTH CENTER,Rural Health Unit,2336,Government,58 KINGFISHER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALIGAYAHAN,
SANTA ELENA HEALTH CENTER,Rural Health Unit,2367,Government,"W. PAZ STREET, COR. SHOE AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTA ELENA (POB.),
BAYANAN HEALTH CENTER (ANNEX),Rural Health Unit,2370,Government,"PUROK I BLOCK, 2 DOLLETON STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,BAYANAN,+63 028620124
FEU- DR. NICANOR REYES MEDICAL FOUNDATION,Hospital,2407,Private,REGALADO AVENUE WEST FAIRVIEW,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,FAIRVIEW,+63 024270213
SANTA LUCIA SUPER HEALTH CENTER,Rural Health Unit,2418,Government,2ND FLR STA. LUCIA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA LUCIA,
KALUMPANG HEALTH CENTER,Rural Health Unit,2427,Government,M. H. DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CALUMPANG,+63 023694687
MALAMIG HEALTH CENTER,Rural Health Unit,2428,Government,CRESTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MALAMIG,
MABINI-J. RIZAL HEALTH CENTER,Rural Health Unit,2431,Government,J. RIZAL STREET CORNER A. MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MABINI-J. RIZAL,
MOTHER TERESAS HOME THAT CARES INC,Hospital,2436,Private,257-A ROSARIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,+63 025326773
BAGONG LIPUNAN HEALTH CENTER,Rural Health Unit,2437,Government,CERTEZA STREET BEATA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 837,+63 025880686
MASIKAP HEALTH CENTER,Rural Health Unit,2466,Government,"MASIKAP COMPLEX ZONE 5, SANTA ANA (KANAN)",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SANTA ANA,+63 026436884
ELIAS ALDANA HEALTH CENTER,Rural Health Unit,2472,Government,TRAMO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ELIAS ALDANA,+63 028269511
VERGARA HEALTH CENTER,Rural Health Unit,2498,Government,ILINO CRUZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,VERGARA,
LINGUNAN HEALTH CENTER,Rural Health Unit,2520,Government,P. GREGORIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,LINGUNAN,+63 022929764
TONDO HEALTH CENTER,Rural Health Unit,2524,Government,1957 JUAN LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 165,+63 022539524
SALVE REGINA GENERAL HOSPITAL INC.,Hospital,2550,Private,LOT A 2A MARCOS H-WAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,DELA PAZ,+63 029337133
PINYAHAN HEALTH CENTER,Rural Health Unit,2556,Government,37 MALAKAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PINYAHAN,
MOTHER REGINA HOSPITAL,Hospital,2561,Private,"2 RUBY STREET, DOÑA JUANA SUBDIVISION.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 026412922
BASA HEALTH CENTER,Rural Health Unit,2563,Government,REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ZAPOTE,+63 028368306
CONCEPCION UNO HEALTH CENTER,Rural Health Unit,2574,Government,J.P. RIZAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION UNO,
LIBIS HEALTH CENTER,Rural Health Unit,2624,Government,L. PASCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,LIBIS,
HARAPIN ANG BUKAS HEALTH CENTER,Rural Health Unit,2629,Government,GENERAL KALENTONG CORNER SENATOR NEPTALI GONZALES,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HARAPIN ANG BUKAS,+63 025336611
DAGUPAN HEALTH CENTER,Rural Health Unit,2635,Government,324 MERCADO STREET CORNER DAGUPAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 50,+63 022543684
MIA HEALTH CENTER,Rural Health Unit,2636,Government,MIA ROAD CORNER NAIA AVENUE,1301,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 194,+63 028519702
AURORA HEALTH CENTER,Rural Health Unit,2651,Government,1752 BIAK NA BATO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 251,+63 022524818
MARIA CLARA HEALTH CENTER,Rural Health Unit,2675,Government,ARAULLO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HAGDANG BATO LIBIS,
INTRAMUROS HEALTH CENTER,Rural Health Unit,2696,Government,"BALUARTE DE SAN ANDRES, MURALLA STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",INTRAMUROS,BARANGAY 657,
SIPAC-ALMACEN HEALTH CENTER,Rural Health Unit,2711,Government,A. SANTIAGO STREET,1485,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SIPAC-ALMACEN,
TAYABAS HEALTH CENTER,Rural Health Unit,2723,Government,2221 MOLAVE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 228,+63 022521401
CANUMAY EAST HEALTH CENTER,Rural Health Unit,2733,Government,D. BONIFACIO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,CANUMAY,+63 024450598
MEISIC HEALTH CENTER,Rural Health Unit,2770,Government,6811 FELIPE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,BARANGAY 288,+63 022442108
VALERIANO FUGOSO HEALTH CENTER,Rural Health Unit,2800,Government,A. H. LACSON STREET CORNER ARAGON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,,+63 027407470
ISLA HEALTH CENTER,Rural Health Unit,2822,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,ISLA,+63 024445547
"TRINITY WOMAN CHILD CENTER ""THE BIRTHPLACE""",Hospital,2852,Private,2732 NEW PANADEROS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 888,+63 025641510
VILLAROSA HOSPITAL,Hospital,2872,Private,11 SALALILLA STREET PROJ 4,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MILAGROSA,+63 029139705
NEW LOWER BICUTAN HEALTH CENTER,Rural Health Unit,2885,Government,PUROK I MANUEL L. QUEZON AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LOWER BICUTAN,
VETERANS MEMORIAL MEDICAL CENTER,Hospital,2911,Government,"NORTH AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG PAG-ASA,+63 029276426
TALON I HEALTH CENTER,Rural Health Unit,2933,Government,"REAL STREET, ALABANG - ZAPOTE RD",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON UNO,+63 028011851
TANGOS HEALTH CENTER,Rural Health Unit,2940,Government,A. CRUZ STREET,1489,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,TANGOS,
ZAPOTE HEALTH CENTER (BAGONG LIPUNAN),Rural Health Unit,2944,Government,SANTOS VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ZAPOTE,+63 028721894
TANDANG SORA HEALTH CENTER,Rural Health Unit,2946,Government,506 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TALIPAPA,+63 024556904
OSPITAL NG PARANAQUE,Hospital,2995,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,LA HUERTA,+63 028254903
UNIVERSITY OF SANTO TOMAS HOSPITAL,Hospital,2997,Private,ESPAÑA BOULEVARD,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027313011
THE CLINIC OF THE HOLY SPIRIT INC,Hospital,3001,Private,"4 LA STREET IMMACULATE CONCEPTION, CUBAO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,+63 021718047
M-TECH MEDICAL HOSPITAL,Hospital,3012,Private,,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,,
PALATIW HEALTH CENTER,Rural Health Unit,3023,Government,M.H. DEL PILAR,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PALATIW,
BAGONG SILANG PHASE 2 HEALTH CENTER,Rural Health Unit,3029,Government,BAGONG SILANG PHASE 2,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,
ALFONSO SPECIALISTS HOSPITAL,Hospital,3039,Private,185 DR. SIXTO ANTONIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 025711285
PALINGON HEALTH CENTER,Rural Health Unit,3053,Government,F. MANALO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,PALINGON,
VELASQUEZ HEALTH CENTER,Rural Health Unit,3062,Government,NEPOMUCENO STREET CONER F VARONA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022555201
PHILIPPINE NATIONAL POLICE GENERAL HOSPITAL,Hospital,3066,Government,"EDSA, CAMP CRAME",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG LIPUNAN NG CRAME,+63 027226850
SERRANO HEALTH CENTER,Rural Health Unit,3067,Government,SERRANO SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024457199
JESUS DE LA PEÑA HEALTH CENTER,Rural Health Unit,3071,Government,MALVAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,JESUS DE LA PE??A,+63 029480412
MALIBAY HEALTH CENTER,Rural Health Unit,3082,Government,MALIBAY PLAZA,1300,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 174,+63 028542684
LA HUERTA HEALTH CENTER,Rural Health Unit,3108,Government,KAPITAN TINOY EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,LA HUERTA,+63 028293589
PAMPLONA II HEALTH CENTER,Rural Health Unit,3113,Government,"AQUARIUS STREET, PAMPLONA PARIC SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA DOS,+63 028723169
VALDEZ PADRON HOSPITAL,Hospital,3140,Private,"12 MARIANO STREET, GULOD",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GULOD,+63 024199339
BULI HEALTH CENTER,Rural Health Unit,3163,Government,BULI BARANGAY HALL,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,BULI,
BAMBANG HEALTH CENTER,Rural Health Unit,3189,Government,VILLA ALFONSO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAMBANG,
DELOS SANTOS - STI MEDICAL CENTER,Hospital,3191,Private,201 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALUSUGAN,+63 027220773
PULANG LUPA II HEALTH CENTER,Rural Health Unit,3209,Government,"ARIES STREET CORNER SAINT VINCENT, VILLA ISABELITA SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA DOS,+63 029945782
GUADALUPE NUEVO HEALTH CENTER,Rural Health Unit,3241,Government,NUESTRA SEÑORA DE GUADALUPE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,GUADALUPE NUEVO,+63 028811288
CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,Hospital,3264,Private,37 GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TUKTUKAN,+63 026423433
TUGATOG HEALTH CENTER,Rural Health Unit,3267,Government,22 A STREET PETER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,VIENTE REALES,
METROPOLITAN MEDICAL CENTER,Hospital,3281,Private,1357 G. MASANGKAY STREET,1012,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022550401
BO. FUGOSO HEALTH CENTER,Rural Health Unit,3288,Government,971 LUALHATI AND MATIISIN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 28,+63 022471470
PASCUAL GENERAL HOSPITAL,Hospital,3302,Private,130 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAESA,+63 023625862
BAYANAN HEALTH CENTER (MAIN),Rural Health Unit,3320,Government,PUROK 4 SAN GUILLERMO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,BAYANAN,+63 028620124
BAGONG SILANG PHASE 10 HEALTH CENTER,Rural Health Unit,3323,Government,BAGONG SILANG PHASE 10,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,
TORRES BUGALLON HEALTH CENTER,Rural Health Unit,3349,Government,TORRES BUGALLON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 5,
NORTH BAY BOULEVARD NORTH HEALTH CENTER,Rural Health Unit,3359,Government,PESCADOR 2 STREET,1411,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., NORTH",+63 023835633
BALINGASA HEALTH CENTER,Rural Health Unit,3365,Government,J. AQUINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BALINGASA,
CALZADA HEALTH CENTER,Rural Health Unit,3382,Government,RUHALE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CALZADA,
SOUTH CEMBO HEALTH CENTER,Rural Health Unit,3392,Government,GENERAL DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SOUTH CEMBO,+63 027281830
"Q.C. ST. AGNES GENERAL HOSPITAL, INC.",Hospital,3416,Private,241 ROOSEVELT AVENUE SAN FRANCISCO DEL MONTE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ANTONIO,+63 023742769
TAGALAG HEALTH CENTER,Rural Health Unit,3423,Government,BALIKATAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,TAGALAG,+63 024454847
MERVILLE HEALTH CENTER AND LYING-IN CLINIC,Rural Health Unit,3455,Government,DALY ROAD CORNER SOUTH ADMIRAL VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,MERVILLE,+63 028243567
ERMIN GARCIA HEALTH CENTER,Rural Health Unit,3457,Government,NO. 53 CAMBRIDGE STREET CUBAO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,
CAMP GENERAL EMILIO AGUINALDO STATION HOSPITAL,Hospital,3467,Government,CAMP GENERAL EMILIO AGUINALDO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CAMP AGUINALDO,+63 029116001
KAMUNING SUPER HEALTH CENTER,Rural Health Unit,3482,Government,19 T. GENER STREET CORNER K 5TH STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAMUNING,
HOLY SPIRIT HEALTH CENTER,Rural Health Unit,3483,Government,373 SANTA CATALINA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,HOLY SPIRIT,
COMMONWEALTH HEALTH CENTER,Rural Health Unit,3484,Government,KATUPARAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,COMMONWEALTH,
M. H. PEDRO HEALTH CENTER,Rural Health Unit,3485,Government,"13 JUANARIA P. EUGENIO STREET, PHILAND SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG TAMO,+63 029307970
BAGONG SILANG HEALTH CENTER,Rural Health Unit,3486,Government,SITIO BAGONG SILANG,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,SUCAT,
BALUBAD HEALTH CENTER,Rural Health Unit,3487,Government,BALUBAD STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,NANGKA,
MIRACULOUS MEDAL EMERGENCY MEDICAL CLINIC,Hospital,3488,Private,1815 LSWA BUILDING SINGALONG,1004,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,,+63 025221088
OSPITAL NG MAYNILA MEDICAL CENTER,Hospital,3498,Government,"PRES. QUIRINO AVENUE, CORNER ROXAS BOULEVARD",1004,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,,+63 025246061
OSPITAL NG MUNTINLUPA,Hospital,3499,Government,CIVIC DRIVE FILINVEST CORPORATE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 027710457
OSPITAL NG SAMPALOC,Hospital,3500,Government,677 GERONIMO CORNER CAROLA STREET,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027490222
ST. LUKES MEDICAL CENTER,Hospital,3522,Private,279 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALUSUGAN,+63 027230101
POBLACION HEALTH CENTER,Rural Health Unit,3545,Government,990B A. T. REYES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,POBLACION,
PUGAD LAWIN HEALTH CENTER,Rural Health Unit,3546,Government,CHAMPACA II STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,FORTUNE,+63 029431283
J. POSADAS HEALTH CENTER,Rural Health Unit,3569,Government,NEPA STREET CORNER RODRIGUEZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 139,+63 022537562
SAN ISIDRO HEALTH CENTER,Rural Health Unit,3571,Government,DOMINGA STREET,1306,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 48,+63 028315275
NORTH FAIRVIEW HEALTH CENTER,Rural Health Unit,3592,Government,AVON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NORTH FAIRVIEW,
MISSION HOSPITAL,Hospital,3626,Private,KM. 17 ORTIGAS AVENUE EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 026562816
PINALAGAD HEALTH CENTER,Rural Health Unit,3632,Government,PINAGPALA STREET AREA I,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,+63 022927297
ADMIRAL HEALTH CENTER,Rural Health Unit,3676,Government,"SAN ISIDRO STREET, CARMENCITA VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON TRES,+63 028011860
KASILAWAN HEALTH CENTER,Rural Health Unit,3732,Government,2094 E. PASCUA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,KASILAWAN,+63 028976494
PASO DE BLAS HEALTH CENTER,Rural Health Unit,3755,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PASO DE BLAS,+63 022926372
