,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
306,LLANO HEALTH CENTER,Rural Health Unit,27926.0,Government,LLANO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 167,,121.0081231,14.7370618
307,PANGARAP HEALTH CENTER,Rural Health Unit,27927.0,Government,NARRA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 182,,121.0920581,14.7642731
308,SAMPALUKAN HEALTH CENTER,Rural Health Unit,27928.0,Government,KABULUSAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 24,,120.9729332,14.6432442
309,SAN RAFAEL VILLAGE SATELLITE CENTER,Barangay Health Station,27929.0,Government,1 TALIBA STREET,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN RAFAEL VILLAGE,,120.9661209,14.6374481
310,MALABO HEALTH STATION,Barangay Health Station,27930.0,Government,"002 WILLIAM STREET, ANNVILLE SUBDIVISION, SITIO SANTO ROSARIO",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAYSAN,+63 024444919,120.9863189,14.6809664
311,CENTRAL BICUTAN OSANO SUPER HEALTH CENTER,Rural Health Unit,29730.0,Government,"PHASE 1, CENTRAL BICUTAN - OSANO",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CENTRAL BICUTAN,,121.0508645,14.5176184
312,LIGID SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Rural Health Unit,29731.0,Government,LABAO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LIGID-TIPAS,,121.0779377,14.5434511
313,NORTH SIGNAL SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Rural Health Unit,29732.0,Government,"IPIL IPIL ST., ZONE 1",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,NORTH SIGNAL VILLAGE,,121.057159,14.5161223
314,PINAGSAMA HEALTH CENTER,Rural Health Unit,29733.0,Government,"PHASE 1, PINAGSAMA",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,,,121.0508645,14.5176184
315,"VILLON-TANSINSIN HOSPITAL, INC.",Hospital,29734.0,Private,3 TOYOTA AVENUE COR. GUERILLA ST.,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,,121.1028546,14.65073
316,CHILDS HOPE/PASIG CITY CHILDRENS HOSPITAL,Hospital,29735.0,Government,ALCALDE JOSE CORNER INDUSTRIA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN JOSE,,121.0741221,14.5616286
317,DOÑA NICASIA HEALTH CENTER,Rural Health Unit,29736.0,Government,MALASAKIT STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,COMMONWEALTH,,121.0822362,14.6966972
318,FAIRVIEW POLYMEDIC HOSPITAL,Hospital,29737.0,Private,1041 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA MONICA,+63 029398764,121.0318354,14.6954564
319,GARMA HOSPITAL,Hospital,29738.0,Private,"8 PURDUE STREET CORNER NEW YORK, E. RODRIGUEZ, CUBAO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,,121.052143,14.6273978
320,MELCHORA AQUINO HEALTH CENTER,Rural Health Unit,29739.0,Government,NPC,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NEW ERA (CONSTITUTION HILLS),,121.0934847,14.6938615
321,MT. BANAWE GENERAL HOSPITAL,Hospital,29740.0,Private,264 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,+63 027240656,121.0224899,14.6211893
322,PACIFIC GLOBAL MEDICAL CENTER,Hospital,29741.0,Private,"LOT 2B,MINDANAO AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TALIPAPA,+63 029014941,121.0351815,14.6548904
323,PNP GENERAL HOSPITAL ANNEX,Hospital,29742.0,Government,"CAMP PANOPIO, P. TUAZON",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAUNLARAN,+63 027236730,121.0464885,14.6152343
324,SANTA LUCIA GENERAL HOSPITAL CORPORATION,Hospital,29743.0,Private,797 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA MONICA,+63 024185593,121.0317819,14.6953716
325,SAINT LOUIS MEDICAL CLINIC AND HOSPITAL,Hospital,29744.0,Private,MARIANITO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN BARTOLOME,+63 029361243,121.0653914,14.7063563
326,PHASE 2 AREA 1 SATELLITE CENTER,Rural Health Unit,29745.0,Government,BLOCK 23 LANGARAY STREET CORNER DALAG STREET PHASE 2 AREA 1,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., SOUTH",,120.9559284,14.6417937
327,TUMANA HEALTH CENTER,Rural Health Unit,29746.0,Government,PHASE 2 AREA 2,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., SOUTH",,120.9559284,14.6417937
328,METRO NORTH MEDICAL CENTER AND HOSPITAL INC.,Hospital,30973.0,Private,1001 MINDANAO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 024268000,121.027968,14.690044
329,MARY IMMACULATE HOSPITAL,Hospital,651.0,Private,E. RODRIGUEZ AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG ILOG,+63 026713928,121.0871138,14.592746
330,MCPC ST THERESE OF LISIEUX DOCTORS HOSPITAL,Hospital,654.0,Private,ARMAL BLDG. C. RAYMUNDO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 023851579,121.0861566,14.5783479
331,MEDICAL CENTER MANILA,Hospital,655.0,Private,1122 GENERAL LUNA STREET,1000.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,,+63 025238131,0.0,0.0
332,"MEDICAL CENTER PARAÑAQUE, INC.",Hospital,656.0,Private,"DR. A. SANTOS AVENUE, SUCAT",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ANTONIO,+63 028256911,0.0,0.0
333,METRO PSYCH FACILITY,Hospital,662.0,Private,520 DR. SIXTO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 026436006,121.0821996,14.5789919
334,PAMPLONA MEDICAL CLINIC,Hospital,687.0,Private,REAL ST.,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028730524,0.0,0.0
335,OUR LADY OF PEACE HOSPITAL,Hospital,690.0,Private,COSTAL ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN DIONISIO,+63 028295775,0.0,0.0
336,PAGAMUTANG BAYAN NG MALABON,Hospital,693.0,Government,MAYA MAYA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,LONGOS,+63 022812898,120.9605559,14.653715
337,UHBI-PARAÑAQUE DOCTOR'S HOSPITAL,Hospital,698.0,Private,175 DOÑA SOLEDAD AVENUE BETTER LIVING SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,DON BOSCO,+63 028281340,0.0,0.0
338,PASAY CITY GENERAL HOSPITAL,Hospital,699.0,Government,P. ZAMORA STREET,1304.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 60,+63 028336022,121.0003936,14.5851565
339,PASIG CITY GENERAL HOSPITAL,Hospital,700.0,Government,M. EUSEBIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 022737981,121.1055687,14.5414069
340,"CENTER FOR DIALYSIS, HEALTHY LIFESTYLE, AMBULLATORY SURGERY, MATERNITY CLINIC AND NEWBORN CARE OF PASIG CITY (CHAMP)",Rural Health Unit,701.0,Government,CARUNCHO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),,121.0804452,14.5608541
341,"PASOLO MATERNITY AND MEDICAL CLINIC, INC.",Hospital,702.0,Private,152 PASOLO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PASOLO,+63 022922753,120.9578278,14.6991952
342,PERPETUAL HELP HOSPITAL,Hospital,710.0,Private,1504 LAON-LAAN STREET,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 470,+63 027318177,120.9731279,14.6406745
343,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,Hospital,711.0,Private,836 FLORENTINO CAYCO STREET,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 457,+63 027311631,120.9928039,14.6075389
344,PHILIPPINE CHILDRENS MEDICAL CENTER,Hospital,713.0,Government,QUEZON AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG PAG-ASA,+63 029246601,121.0449733,14.6488632
345,PHILIPPINE HEART CENTER,Hospital,714.0,Government,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,+63 029252401,121.0479354,14.6450291
346,PHILIPPINE ORTHOPEDIC CENTER,Hospital,715.0,Government,MA. CLARA STREET CORNER BANAWE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA TERESITA,+63 027124602,121.0043072,14.6274541
347,CALOOCAN CITY MEDICAL CENTER,Hospital,719.0,Government,450 A.MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 15,,120.9736053,14.6482223
348,RIZAL MEDICAL CENTER,Hospital,727.0,Government,PASIG BOULEVARD,1600.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINEDA,+63 026719740,121.0660369,14.5674546
349,SAN ROQUE MEDICAL CLINIC,Hospital,740.0,Private,249 T. MONTILLANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028422950,121.049572,14.41894
350,ST. CLARE'S MEDICAL CENTER,Hospital,758.0,Private,1838 DIAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PALANAN,+63 028316511,121.0028217,14.5605587
351,ST. JUDE HOSPITAL AND MEDICAL CENTER,Hospital,768.0,Private,DIMASALANG CORNER DON QUIJOTE STREET,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027312761,0.0,0.0
352,ST. VICTORIA HOSPITAL,Hospital,774.0,Private,444 J.P. RIZAL STREET LAMUAN,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MALANDAY,+63 029422022,121.0943958,14.647586
353,ST. MARTIN DE PORRES CHARITY HOSPITAL,Hospital,778.0,Private,70 A. BONIFACIO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,KABAYANAN,+63 027230741,121.031444,14.598988
354,TAGUIG-PATEROS DISTRICT HOSPITAL,Hospital,788.0,Government,EAST SERVICE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WESTERN BICUTAN,+63 028383485,121.0317778,14.5141296
355,UNCIANO GENERAL HOSPITAL,Hospital,795.0,Private,393 BONI AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MALAMIG,+63 025336565,121.040997,14.5759382
356,UNITED DOCTORS MEDICAL CENTER,Hospital,797.0,Private,290 ESPANA CORNER 6TH N. RAMIREZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DON MANUEL,+63 027123640,121.0041596,14.6152463
357,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,Hospital,798.0,Private,ALABANG-ZAPOTE RD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028748515,0.0,0.0
358,VALENZUELA CITY EMERGENCY HOSPITAL,Hospital,801.0,Government,POLO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,POBLACION,+63 022945137,120.9472793,14.7092383
359,VALENZUELA MEDICAL CENTER,Hospital,802.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,KARUHATAN,,120.9739935,14.6898877
360,"WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.",Hospital,806.0,Private,"23 BUENAMAR STREET, BUENAMAR SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,+63 029301622,121.0378102,14.720093
361,CARMONA HEALTH CENTER,Rural Health Unit,809.0,Government,"3002 H. SANTOS STREET, PASONG TAMO",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,CARMONA,+63 028953721,121.015496,14.5714919
362,ALMANZA UNO HEALTH CENTER,Rural Health Unit,812.0,Government,REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ALMANZA UNO,+63 028267422,0.0,0.0
363,ALMANZA II HEALTH CENTER (T. S. CRUZ HC),Rural Health Unit,813.0,Government,ILANG-ILANG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ALMANZA DOS,+63 028629632,0.0,0.0
364,ANA HEALTH CENTER,Rural Health Unit,814.0,Government,"KAPANALIG STREET, MARCELA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 28,,120.9682722,14.6403686
365,ATANG DE LA RAMA HEALTH CENTER,Rural Health Unit,817.0,Government,424 PAMPANGA STREET CORNER R. FERNANDEZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 175,+63 022539013,0.0,0.0
366,CORAZON AQUINO HEALTH CENTER,Rural Health Unit,826.0,Government,BASECO COMPOUND,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PORT AREA,BARANGAY 649,+63 024943471,120.9569326,14.59127
367,RIZAL HEALTH CENTER,Rural Health Unit,828.0,Government,AMRILLO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,RIZAL,+63 027291992,121.0607418,14.5382146
368,CALABASH HEALTH CENTER,Rural Health Unit,832.0,Government,2111 SOLEDAD EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 534,+63 027812024,121.0032254,14.6121073
369,CANUMAY WEST HEALTH CENTER,Rural Health Unit,838.0,Government,T. SANTIAGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,CANUMAY,+63 024442235,120.9839357,14.6977092
370,CONCEPCION HEALTH CENTER,Rural Health Unit,839.0,Government,E. DE JESUS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,CONCEPCION,,120.9466542,14.6686442
371,KRUS NA LIGAS HEALTH CENTER,Rural Health Unit,840.0,Government,89 LT. J. FRANCISCO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KRUS NA LIGAS,,121.0639285,14.6461921
372,DALANDANAN HEALTH CENTER,Rural Health Unit,841.0,Government,177 MC ARTHUR HI-WAY,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,DALANDANAN,,120.961799,14.7031092
373,DIMASALANG HEALTH CENTER,Rural Health Unit,844.0,Government,"ISAGANI CORNER TIAGO STREET, SANTA CRUZ",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 368,+63 027112849,120.9885283,14.6217035
374,DOÑA MARTA HEALTH CENTER,Rural Health Unit,846.0,Government,37 DON CARLOS REVILLA STREET,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 147,+63 028517804,121.0023293,14.5367344
375,POTRERO HEALTH CENTER,Rural Health Unit,847.0,Government,14 DURIAN STREET,1475.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,POTRERO,,120.9848447,14.6626507
376,ESPERANZA HEALTH CENTER,Rural Health Unit,850.0,Government,"286 TERESA STREET, OLD STA. MESA",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 842,+63 027157028,121.0168934,14.6001581
377,F. LEGARDA HEALTH CENTER,Rural Health Unit,851.0,Government,457 QUINTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027812456,121.001694,14.6086128
378,FRANCISCO HEALTH CENTER,Rural Health Unit,852.0,Government,124 ESGUERRA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 75,,120.968835,14.6164805
379,HAGONOY HEALTH CENTER,Rural Health Unit,853.0,Government,1 C.P. TINGA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,HAGONOY,,121.0694179,14.5118634
380,KARUHATAN HEALTH CENTER,Rural Health Unit,857.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,KARUHATAN,+63 024450907,120.9739935,14.6898877
381,LUZVIMINDA HEALTH CENTER,Rural Health Unit,860.0,Government,CEBU STREET CORNER LUZON AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 558,+63 027155047,121.0070766,14.6106993
382,MABOLO HEALTH CENTER,Rural Health Unit,861.0,Government,34 AMABELLA COMPOUND,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MABOLO,+63 024445730,120.9355507,14.7193098
383,MANOTOC HEALTH CENTER,Rural Health Unit,866.0,Government,FELOMENA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024450587,120.9799839,14.6837594
384,GATCHALIAN HEALTH CENTER,Rural Health Unit,867.0,Government,"S. MARQUEZ STREET, PHASE 4, GATCHALIAN SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,MANUYO DOS,+63 028267587,0.0,0.0
385,NAVOTAS CITY HEALTH OFFICE,Rural Health Unit,870.0,Government,M. NAVAL STREET,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SAN JOSE (POB.),+63 022830697,0.0,0.0
386,ARSENIA J. MAXIMO SUPER HEALTH CENTER,Rural Health Unit,872.0,Government,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,,121.0397282,14.7204007
387,NOVALICHES LYING-IN CLINIC,Rural Health Unit,873.0,Government,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,,121.0397282,14.7204007
388,IVC (OLANDES) HEALTH CENTER,Rural Health Unit,874.0,Government,O. DE GUZMAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,INDUSTRIAL VALLEY,+63 023698254,121.1047927,14.6526138
389,OBLIZA HEALTH CENTER,Rural Health Unit,875.0,Government,FORTUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,OLYMPIA,+63 028991212,121.0212284,14.5741934
390,BAGONG PAG-ASA HEALTH CENTER,Rural Health Unit,876.0,Government,ROAD 9 CORNER ROAD 10,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG PAG-ASA,,121.0343053,14.6621191
391,PALANAN HEALTH CENTER,Rural Health Unit,878.0,Government,4513 CASINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PALANAN,+63 028327935,121.00575,14.560328
392,PARADA HEALTH CENTER,Rural Health Unit,879.0,Government,S. DE GUZMAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PARADA,+63 022926367,120.9902465,14.6953503
393,BAGONG SILANG PHASE 9 HEALTH CENTER,Rural Health Unit,880.0,Government,BAGONG SILANG PHASE 9,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,,121.0382467,14.7841046
394,POBLACION HEALTH CENTER,Rural Health Unit,881.0,Government,"GROUND FLOOR, CONTESSA BUILDING",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,+63 028612462,121.0290335,14.3854118
395,PROGRESO STATION HEALTH CENTER,Barangay Health Station,883.0,Government,J. EUSTAQUIO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PROGRESO,,121.0202502,14.6033029
396,PUNTURIN HEALTH CENTER,Rural Health Unit,885.0,Government,19 P. FAUSTINO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PUNTURIN,+63 024452554,120.9888653,14.7399922
397,RAMON MAGSAYSAY HEALTH CENTER,Rural Health Unit,887.0,Government,2501 JOSE ABAD SANTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022561052,0.0,0.0
398,ROSARIO SUPER HEALTH CENTER,Rural Health Unit,888.0,Government,F. ANDRES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,,121.0843805,14.5906601
399,SAN MIGUEL HEALTH CENTER,Rural Health Unit,893.0,Government,3312 N. PADILLA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAN MIGUEL,BARANGAY 645,+63 027360360,120.99045,14.59246
400,SAN MIGUEL HEIGHTS HEALTH CENTER,Rural Health Unit,894.0,Government,ROAD 1,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,,120.989907,14.6754095
401,SAN NICOLAS HEALTH CENTER,Rural Health Unit,897.0,Government,521 ASUNCION STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,BARANGAY 285,+63 022433593,120.9708451,14.5989573
402,SAN SEBASTIAN HEALTH CENTER,Rural Health Unit,901.0,Government,47 PLAZA DEL CARMEN,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,BARANGAY 390,+63 027348754,120.9877473,14.5981617
403,TALA HEALTH CENTER,Rural Health Unit,906.0,Government,"BACK OF POST OFFICE, GLORIETTA, TALA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 188,,0.0,0.0
404,TALON IV HEALTH CENTER,Rural Health Unit,908.0,Government,SAMPAGUITA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON KUATRO,+63 028011862,0.0,0.0
405,TALON V RURAL HEALTH UNIT (MOONWALK RURAL HEALTH UNIT ),Rural Health Unit,909.0,Government,"APOLLO IV STREET, MOONWALK VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON SINGKO,+63 028006165,0.0,0.0
406,UPPER BICUTAN HEALTH CENTER,Rural Health Unit,914.0,Government,PUROK 4,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,UPPER BICUTAN,,121.0485599,14.4979947
407,USUSAN HEALTH CENTER,Rural Health Unit,915.0,Government,TOMASA AVENUE TOMASA SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,USUSAN,,121.065173,14.5311498
