Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,,Barangay Name,Landline Number,lon,lat,Barangay,level, PRCP, BedSpace, OpRoom, RecRoom, MatWard, IsoRoom, dental, blood, pathology, radiology, pharmacy, CMDCDH_2, Spec1, ICU, NICU, HRPU, RTS, TerClin, MobX, Teach_3, PRU, ASC, Dialysis, BBank, Hispa, radiology3
BAGONG LIPUNAN HEALTH CENTER,Rural Health Unit,2437,Government,CERTEZA STREET BEATA,,MANILA,BARANGAY 837,+63 025880686,121.0081102,14.5911222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASIKAP HEALTH CENTER,Rural Health Unit,2466,Government,"MASIKAP COMPLEX ZONE 5, MANILA (KANAN)",,PATEROS,MANILA,+63 026436884,121.072206,14.5442907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERGARA HEALTH CENTER,Rural Health Unit,2498,Government,ILINO CRUZ STREET,,MANDALUYONG,VERGARA,,121.0241925,14.5765338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINGUNAN HEALTH CENTER,Rural Health Unit,2520,Government,P. GREGORIO STREET,,VALENZUELA,LINGUNAN,+63 022929764,120.9762896,14.7190577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TONDO HEALTH CENTER,Rural Health Unit,2524,Government,1957 JUAN LUNA STREET,,MANILA,BARANGAY 165,+63 022539524,120.970955,14.618927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINYAHAN HEALTH CENTER,Rural Health Unit,2556,Government,37 MALAKAS STREET,,QUEZON ,PINYAHAN,,121.0475791,14.6351187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION UNO HEALTH CENTER,Rural Health Unit,2574,Government,J.P. RIZAL STREET,,MARIKINA,CONCEPCION UNO,,121.103567,14.6566419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBIS HEALTH CENTER,Rural Health Unit,2624,Government,L. PASCO STREET,,QUEZON ,LIBIS,,121.0772212,14.6165947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARAPIN ANG BUKAS HEALTH CENTER,Rural Health Unit,2629,Government,GENERAL KALENTONG CORNER SENATOR NEPTALI GONZALES,,MANDALUYONG,HARAPIN ANG BUKAS,+63 025336611,121.0274179,14.5912572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA HEALTH CENTER,Rural Health Unit,2651,Government,1752 BIAK NA BATO STREET,,MANILA,BARANGAY 251,+63 022524818,120.9775053,14.6153284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIA CLARA HEALTH CENTER,Rural Health Unit,2675,Government,ARAULLO STREET,,MANDALUYONG,HAGDANG BATO LIBIS,,120.9921028,14.6093525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANILA HEALTH CENTER,Rural Health Unit,2696,Government,"BALUARTE DE SAN ANDRES, MURALLA STREET",,MANILA,BARANGAY 657,,120.9772355,14.5869657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIPAC-ALMACEN HEALTH CENTER,Rural Health Unit,2711,Government,A. SANTIAGO STREET,1485,NAVOTAS,SIPAC-ALMACEN,,120.945917,14.6575743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAYABAS HEALTH CENTER,Rural Health Unit,2723,Government,2221 MOLAVE STREET,,MANILA,BARANGAY 228,+63 022521401,120.9773954,14.6283043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUMAY EAST HEALTH CENTER,Rural Health Unit,2733,Government,D. BONIFACIO,,VALENZUELA,CANUMAY,+63 024450598,120.9934058,14.7200657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEISIC HEALTH CENTER,Rural Health Unit,2770,Government,6811 FELIPE STREET,,MANILA,BARANGAY 288,+63 022442108,120.9731659,14.6046499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALERIANO FUGOSO HEALTH CENTER,Rural Health Unit,2800,Government,A. H. LACSON STREET CORNER ARAGON STREET,,MANILA,,+63 027407470,120.043412,15.7730771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLA HEALTH CENTER,Rural Health Unit,2822,Government,,,VALENZUELA,ISLA,+63 024445547,120.9524951,14.7035467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOWER BICUTAN HEALTH CENTER,Rural Health Unit,2885,Government,PUROK I MANUEL L. QUEZON AVENUE,,TAGUIG,LOWER BICUTAN,,121.0593142,14.4908456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS MEMORIAL MEDICAL CENTER,Hospital,2911,Government,"NORTH AVENUE, DILIMAN",,QUEZON ,BAGONG PAG-ASA,+63 029276426,121.0415018,14.6531372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANGOS HEALTH CENTER,Rural Health Unit,2940,Government,A. CRUZ STREET,1489,NAVOTAS,TANGOS,,120.9326894,14.6744266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANDANG SORA HEALTH CENTER,Rural Health Unit,2946,Government,506 QUIRINO HIGHWAY,,QUEZON ,TALIPAPA,+63 024556904,121.0247081,14.6869206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE CLINIC OF THE HOLY SPIRIT INC,Hospital,3001,Private,"4 LA STREET IMMACULATE CONCEPTION, CUBAO",,QUEZON ,E. RODRIGUEZ,+63 021718047,121.052143,14.6273978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-TECH MEDICAL HOSPITAL,Hospital,3012,Private,,,MAKATI,,,121.0244452,14.554729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALATIW HEALTH CENTER,Rural Health Unit,3023,Government,M.H. DEL PILAR,,PASIG,PALATIW,,121.0895701,14.560045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG PHASE 2 HEALTH CENTER,Rural Health Unit,3029,Government,BAGONG SILANG PHASE 2,,CALOOCAN ,BARANGAY 176,,121.0382467,14.7841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALINGON HEALTH CENTER,Rural Health Unit,3053,Government,F. MANALO STREET,,TAGUIG,PALINGON,,121.0865346,14.531854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINE NATIONAL POLICE GENERAL HOSPITAL,Hospital,3066,Government,"EDSA, CAMP CRAME",,QUEZON ,BAGONG LIPUNAN NG CRAME,+63 027226850,121.0537382,14.6136104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERRANO HEALTH CENTER,Rural Health Unit,3067,Government,SERRANO SUBDIVISION,,VALENZUELA,MARULAS,+63 024457199,120.9817703,14.673664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JESUS DE LA PEÑA HEALTH CENTER,Rural Health Unit,3071,Government,MALVAR STREET,,MARIKINA,JESUS DE LA PE??A,+63 029480412,121.0918073,14.6339586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULI HEALTH CENTER,Rural Health Unit,3163,Government,BULI BARANGAY HALL,,MUNTINLUPA,BULI,,121.0499932,14.4435274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAMBANG HEALTH CENTER,Rural Health Unit,3189,Government,VILLA ALFONSO STREET,,PASIG,BAMBANG,,121.080087,14.5554137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELOS SANTOS - STI MEDICAL CENTER,Hospital,3191,Private,201 E. RODRIGUEZ SR. BOULEVARD,,QUEZON ,KALUSUGAN,+63 027220773,121.017648,14.619821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUADALUPE NUEVO HEALTH CENTER,Rural Health Unit,3241,Government,NUESTRA SEÑORA DE GUADALUPE STREET,,MAKATI,GUADALUPE NUEVO,+63 028811288,121.0458532,14.5615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUGATOG HEALTH CENTER,Rural Health Unit,3267,Government,22 A STREET PETER STREET,,VALENZUELA,VIENTE REALES,,120.9689892,14.7147165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYANAN HEALTH CENTER (MAIN),Rural Health Unit,3320,Government,PUROK 4 SAN GUILLERMO STREET,,MUNTINLUPA,BAYANAN,+63 028620124,121.0500372,14.4094624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG PHASE 10 HEALTH CENTER,Rural Health Unit,3323,Government,BAGONG SILANG PHASE 10,,CALOOCAN ,BARANGAY 176,,121.0382467,14.7841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORRES BUGALLON HEALTH CENTER,Rural Health Unit,3349,Government,TORRES BUGALLON STREET,,CALOOCAN ,BARANGAY 5,,120.9727318,14.6564389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH BAY BOULEVARD NORTH HEALTH CENTER,Rural Health Unit,3359,Government,PESCADOR 2 STREET,1411,NAVOTAS,"NORTH BAY BLVD., NORTH",+63 023835633,120.9559284,14.6417937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALINGASA HEALTH CENTER,Rural Health Unit,3365,Government,J. AQUINO STREET,,QUEZON ,BALINGASA,,121.0051936,14.6472488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALZADA HEALTH CENTER,Rural Health Unit,3382,Government,RUHALE STREET,,TAGUIG,CALZADA,,121.0808034,14.5301089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH CEMBO HEALTH CENTER,Rural Health Unit,3392,Government,GENERAL DEL PILAR STREET,,MAKATI,SOUTH CEMBO,+63 027281830,121.0494246,14.5601941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGALAG HEALTH CENTER,Rural Health Unit,3423,Government,BALIKATAN STREET,,VALENZUELA,TAGALAG,+63 024454847,120.9374332,14.7245493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERMIN GARCIA HEALTH CENTER,Rural Health Unit,3457,Government,NO. 53 CAMBRIDGE STREET CUBAO,,QUEZON ,E. RODRIGUEZ,,121.097729,14.5986507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMP GENERAL EMILIO AGUINALDO STATION HOSPITAL,Hospital,3467,Government,CAMP GENERAL EMILIO AGUINALDO,,QUEZON ,CAMP AGUINALDO,+63 029116001,121.0680551,14.6266955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMUNING SUPER HEALTH CENTER,Rural Health Unit,3482,Government,19 T. GENER STREET CORNER K 5TH STREET,,QUEZON ,KAMUNING,,121.037023,14.626134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLY SPIRIT HEALTH CENTER,Rural Health Unit,3483,Government,373 SANTA CATALINA STREET,,QUEZON ,HOLY SPIRIT,,121.082779,14.6898594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMONWEALTH HEALTH CENTER,Rural Health Unit,3484,Government,KATUPARAN STREET,,QUEZON ,COMMONWEALTH,,121.0822362,14.6966972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. H. PEDRO HEALTH CENTER,Rural Health Unit,3485,Government,"13 JUANARIA P. EUGENIO STREET, PHILAND SUBDIVISION",,QUEZON ,PASONG TAMO,+63 029307970,121.0591368,14.6821382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANG HEALTH CENTER,Rural Health Unit,3486,Government,SITIO BAGONG SILANG,,MUNTINLUPA,SUCAT,,121.0492766,14.4546106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALUBAD HEALTH CENTER,Rural Health Unit,3487,Government,BALUBAD STREET,,MARIKINA,NANGKA,,121.1042699,14.6711774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPITAL NG MUNTINLUPA,Hospital,3499,Government,CIVIC DRIVE FILINVEST CORPORATE,,MUNTINLUPA,ALABANG,+63 027710457,121.0476194,14.4170343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POBLACION HEALTH CENTER,Rural Health Unit,3545,Government,990B A. T. REYES STREET,,MANDALUYONG,POBLACION,,121.0263149,14.5863712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUGAD LAWIN HEALTH CENTER,Rural Health Unit,3546,Government,CHAMPACA II STREET,,MARIKINA,FORTUNE,+63 029431283,121.1280781,14.6588752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. POSADAS HEALTH CENTER,Rural Health Unit,3569,Government,NEPA STREET CORNER RODRIGUEZ STREET,,MANILA,BARANGAY 139,+63 022537562,120.9677561,14.6312521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ISIDRO HEALTH CENTER,Rural Health Unit,3571,Government,DOMINGA STREET,1306,PASAY ,BARANGAY 48,+63 028315275,120.9985247,14.5567461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH FAIRVIEW HEALTH CENTER,Rural Health Unit,3592,Government,AVON STREET,,QUEZON ,NORTH FAIRVIEW,,121.0609846,14.7105586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINALAGAD HEALTH CENTER,Rural Health Unit,3632,Government,PINAGPALA STREET AREA I,,VALENZUELA,MALINTA,+63 022927297,120.9631176,14.6907866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASILAWAN HEALTH CENTER,Rural Health Unit,3732,Government,2094 E. PASCUA STREET,,MAKATI,KASILAWAN,+63 028976494,121.01583,14.575866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASO DE BLAS HEALTH CENTER,Rural Health Unit,3755,Government,,,VALENZUELA,PASO DE BLAS,+63 022926372,120.9937706,14.7042539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELYSIAN HEALTH CENTER,Rural Health Unit,3839,Government,ELYSIAN SUBDIVISION,,VALENZUELA,MARULAS,+63 024451864,120.9817703,14.673664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. EARNSHAW HEALTH CENTER,Rural Health Unit,3840,Government,677 M. EARNSHAW STREET,,MANILA,,+63 027498273,120.9932521,14.6063947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA. CLARA HEALTH CENTER,Rural Health Unit,3841,Government,1801 MA. CLARA STREET CORNER PRUDENCIO STREET,,MANILA,BARANGAY 483,+63 027312661,120.9907935,14.6178704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. MABINI HEALTH CENTER,Rural Health Unit,3842,Government,899 GONZALO PUYAT STREET,,MANILA,BARANGAY 392,+63 027357131,120.9833503,14.6007155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. DELA CRUZ HEALTH CENTER,Rural Health Unit,3843,Government,M. DELA CRUZ STREET,1300,PASAY ,BARANGAY 128,+63 028436003,121.0073823,14.5464566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANG RODRIGUEZ MEDICAL CENTER,Hospital,3872,Government,SUMULONG HIGHWAY,,MARIKINA,SANTO NI??O,+63 029420245,121.1013186,14.6350505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALAYAAN HEALTH CENTER,Rural Health Unit,3889,Government,KALAYAAN VILLAGE,1309,PASAY ,BARANGAY 201,+63 028223694,121.0292165,14.5074854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEJEROS HEALTH CENTER,Rural Health Unit,3897,Government,2903 H. SANTOS STREET,,MAKATI,TEJEROS,+63 028909636,121.0150384,14.5749542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RINCON HEALTH CENTER,Rural Health Unit,3898,Government,FELO I SUBDIVISION,,VALENZUELA,RINCON,,120.9597924,14.6995661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT 4 HEALTH CENTER,Rural Health Unit,3925,Government,P. TUAZON CORNER KALANTIAW STREET,,QUEZON ,BAGUMBUHAY,+63 029125244,121.0643796,14.6241218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLO HEALTH CENTER,Rural Health Unit,3977,Government,74 M.H. DEL PILAR,,VALENZUELA,POBLACION,,120.948814,14.713643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEOPOLITAN GENERAL HOSPITAL,Hospital,4022,Private,FLORDELIZA BLDG. KM23 LAGRO,,QUEZON ,GREATER LAGRO,+63 029364575,121.0631906,14.7275742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ROQUE HEALTH CENTER,Rural Health Unit,4050,Government,M. ROXAS STREET,,MARIKINA,SAN ROQUE,,121.0969192,14.6219683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANIBOY HEALTH CENTER,Rural Health Unit,4051,Government,SANIBOY STREET,,MANDALUYONG,HULO,,121.0267081,14.5756343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGID HEALTH CENTER,Rural Health Unit,4082,Government,LABAO STREET,,TAGUIG,LIGID-TIPAS,+63 026425378,121.0779377,14.5434511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANGKA HEALTH CENTER,Rural Health Unit,4099,Government,BALUBAD STREET,,MARIKINA,NANGKA,+63 029431279,121.1042699,14.6711774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMAYAN HEALTH CENTER,Rural Health Unit,4110,Government,CLARO CASTAÑEDA,,MANDALUYONG,NAMAYAN,,121.0193429,14.5802553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEZON  GENERAL HOSPITAL,Hospital,4124,Government,"SEMINARY ROAD, EDSA",,QUEZON ,BAHAY TORO,+63 024554801,121.0175356,14.6577642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALTOC HEALTH CENTER,Rural Health Unit,4151,Government,SAN JOSE STREET CORNER PUREZA STREET,,MANILA,BARANGAY 421,+63 027150356,121.0042816,14.6024995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYOR DELFIN C. SALONGA MEMORIAL HEALTH CENTER,Rural Health Unit,4171,Government,EMERALD SUBDIVISION M. LOZADO STREET,,PATEROS,SANTO ROSARIO-KANLURAN,+63 026413246,121.0675488,14.5517584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMILANG SUPER HEALTH CENTER,Rural Health Unit,4173,Government,,,PASIG,SANTA ROSA,,121.0851097,14.5763768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGONG HEALTH CENTER,Rural Health Unit,4235,Government,4037 QUE GRANDE STREET,,VALENZUELA,UGONG,+63 029837053,121.0144633,14.6965791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATASAN HILLS ANNEX HEALTH CENTER,Rural Health Unit,4364,Government,"1 BILL STREET, TALANAY A",,QUEZON ,BATASAN HILLS,,121.0965637,14.681641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARULAS MEGA HEALTH CENTER,Rural Health Unit,4390,Government,TAMARAW HILLS,,VALENZUELA,MARULAS,+63 022917284,120.9823111,14.6791571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELFAREVILLE HEALTH CENTER (MAIN),Rural Health Unit,4416,Government,BLOCK 13 WELFAREVILLE COMPOUND,,MANDALUYONG,ADDITION HILLS,,121.0385269,14.5938309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTO NIÑO HEALTH CENTER,Rural Health Unit,4440,Government,B. SANTOS STREET,,MARIKINA,SANTO NI??O,,121.0971855,14.6406507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCEDES DE JOYA HEALTH CENTER,Rural Health Unit,4457,Government,DAPITAN STREET CORNER MAYON STREET,,QUEZON ,SANTA TERESITA,,120.9997247,14.6220329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMY GENERAL HOSPITAL,Hospital,4489,Government,,,TAGUIG,FORT BONIFACIO,,121.0503183,14.5408671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEZON INSTITUTE,Hospital,4499,Private,E. RODRIGUEZ SR. BOULEVARD,,QUEZON ,SANTOL,+63 027813761,121.0118714,14.6186497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEVERIZA HEALTH CENTER,Rural Health Unit,4500,Government,LEVERIZA STREET CORNER GIL PUYAT AVENUE,1300,PASAY ,BARANGAY 23,+63 025265517,120.9945147,14.553661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIKINA HEIGHTS HEALTH CENTER,Rural Health Unit,4523,Government,"CAMPAGNAT STREET, COR EAST DRIVE ST.",,MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029346063,121.1140247,14.6687369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL BICUTAN HEALTH CENTER OSANO,Rural Health Unit,4530,Government,PHASE 1,,TAGUIG,CENTRAL BICUTAN,,121.0458528,14.5140332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P. GONZALES MEMORIAL HOSPITAL, INC.",Hospital,4582,Private,582 J.P. RIZAL STREET,,MARIKINA,MALANDAY,+63 029337231,121.0943144,14.637021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGANDAAN HEALTH CENTER,Rural Health Unit,4617,Government,"PREMIUM STREET, GSIS VILLAGE",,QUEZON ,SANGANDAAN,,121.0206086,14.6734447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP MEDICAL CENTER,Hospital,4639,Government,V. LUNA ROAD,,QUEZON ,PINYAHAN,+63 029211753,121.0505583,14.6370921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW BILIBID PRISON HOSPITAL,Hospital,4643,Government,BUREAU OF CORRECTION,,MUNTINLUPA,POBLACION,+63 028500140,121.0290335,14.3854118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANILA HEALTH CENTER,Rural Health Unit,4652,Government,BONIFACIO STREET,,TAGUIG,MANILA,,121.049811,14.4993778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REMBO HEALTH CENTER,Rural Health Unit,4661,Government,J.P. RIZAL STREET,,MAKATI,WEST REMBO,+63 027525507,121.0632755,14.5393923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGKA IBABA HEALTH CENTER,Rural Health Unit,4687,Government,P. OLIVEROS STREET,,MANDALUYONG,BARANGKA IBABA,+63 025333087,121.0385269,14.5692613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUAYANG BATO HEALTH CENTER,Rural Health Unit,4688,Government,PIONEER STREET,,MANDALUYONG,BUAYANG BATO,,121.0510074,14.570825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHWAY HILLS HEALTH CENTER,Rural Health Unit,4689,Government,34 MARIVELES STREET,,MANDALUYONG,HIGHWAY HILLS,,121.047902,14.580807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT ANDRES BONIFACIO MEMORIAL MEDICAL CENTER,Hospital,4708,Government,DELPAN STREET,,MANILA,BARANGAY 12,+63 022454366,120.9648175,14.6002773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KABAYANAN PUERICULTURE FAMILY PLANNING CENTER,Rural Health Unit,4762,Government,F. BLUMENTRITT STREET,1500,SAN JUAN,KABAYANAN,,120.998178,14.6190429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LAZARO HOSPITAL,Hospital,4799,Government,QUIRICADA STREET,,MANILA,BARANGAY 331,+63 027116120,120.9816131,14.613214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSENIO H. LACSON HEALTH CENTER,Rural Health Unit,4806,Government,PLAZA HUGO STREET,,MANILA,BARANGAY 884,+63 025634257,121.0152326,14.5807562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. RODRIGUEZ HEALTH CENTER,Rural Health Unit,4807,Government,VIOLET ST. 11TH AVE. GRACE PARK,,CALOOCAN ,BARANGAY 93,,120.9908585,14.6522606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINEDA HEALTH CENTER,Rural Health Unit,4889,Government,"BANAAG STREET, PUROK 3",,PASIG,PINEDA,+63 026319364,121.063608,14.5636463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCELLENT COMMUNITY CARE CENTER,Hospital,4927,Private,141 ROOSEVELT AVE.,,QUEZON ,PARAISO,+63 023746200,121.0168016,14.6391731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALAWAAN HEALTH CENTER,Rural Health Unit,4954,Government,CAPTAIN SIXTO CUEVAS RESETTLEMENT,,PASIG,KALAWAAN,+63 026425648,121.086626,14.5487915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPARO HEALTH CENTER,Rural Health Unit,4976,Government,,,CALOOCAN ,BARANGAY 179,,121.0765048,14.7544908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIO DEL PILAR PUERICULTURE CENTER,Rural Health Unit,5021,Government,"SANTUICO STREET, PIO DEL PILAR",,MAKATI,PIO DEL PILAR,+63 027500330,121.0122309,14.5551285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATASAN HILLS SUPER HEALTH CENTER,Rural Health Unit,5074,Government,"2ND FLOOR, IBP ROAD CORNER COMMONWEALTH AVENUE",,QUEZON ,BATASAN HILLS,,121.0870702,14.686864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG BARRIO ZONE I HEALTH CENTER,Rural Health Unit,5087,Government,MALOLOS AVENUE,,CALOOCAN ,BARANGAY 143,,120.9965504,14.6646032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG BARANGAY HEALTH CENTER,Rural Health Unit,5088,Government,WEST ZAMORA STREET,,MANILA,BARANGAY 842,+63 025630194,121.0005459,14.585226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTATAN HEALTH CENTER (BAGONG LIPUNAN),Rural Health Unit,5090,Government,"HEALTH CENTER COMPLEX, NATIONAL ROAD CORNER BLISS",,MUNTINLUPA,PUTATAN,,121.0363768,14.3983677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANGKAS HEALTH CENTER,Rural Health Unit,5109,Government,SAMPAGUITA STREET,,VALENZUELA,BALANGKAS,+63 024449226,120.9730449,14.6799297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISIDRO MENDOZA HEALTH CENTER,Rural Health Unit,5128,Government,2158 JESUS STREET,,MANILA,BARANGAY 848,+63 025633273,121.00472,14.592328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASAY  HEALTH OFFICE,Rural Health Unit,5130,Government,F.B. HARRISON STREET,1300,PASAY ,BARANGAY 70,+63 028318201,120.9931773,14.5487348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPANG HEALTH CENTER,Rural Health Unit,5149,Government,PUROK 5,,MUNTINLUPA,CUPANG,+63 028503367,121.0494497,14.4132589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALAANAN HEALTH CENTER,Rural Health Unit,5172,Government,113 NADURATA STREET CORNER 7TH AVENUE,,CALOOCAN ,BARANGAY 57,,120.9786009,14.6475467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.A. ZAPA HEALTH CENTER,Rural Health Unit,5181,Government,21 J.P. RIZAL STREET,,CALOOCAN ,BARANGAY 34,,120.9733611,14.6380922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANILA HEALTH CENTER,Rural Health Unit,5183,Government,1427 PRES. QUIRINO AVENUE EXENSION,,MANILA,BARANGAY 682,+63 025632321,120.9980279,14.5806886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPAYONG SUPER HEALTH CENTER,Rural Health Unit,5193,Government,ELIAS STREET CENTENNIAL II NAGPAYONG,,PASIG,PINAGBUHATAN,,121.0977006,14.549724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST. VINCENT HOSPITAL,Hospital,5205,Private,35 BAYAN-BAYANAN AVENUE,,MARIKINA,CONCEPCION UNO,+63 029417320,121.1069346,14.6505981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
